"日期","收盘","开盘","高","低","涨跌幅"
"2019年4月14日","16.6942","16.7081","16.7649","16.6600","-0.09%"
"2019年4月7日","16.7092","16.6260","16.7196","16.5029","0.48%"
"2019年3月31日","16.6297","16.5067","16.6428","16.5067","0.69%"
"2019年3月24日","16.5158","16.3493","16.5383","16.3285","0.94%"
"2019年3月17日","16.3624","16.6052","16.6674","16.3356","-1.45%"
"2019年3月10日","16.6025","16.5324","16.6504","16.4937","0.39%"
"2019年3月3日","16.5385","16.6666","16.7516","16.4792","-0.89%"
"2019年2月24日","16.6878","16.4803","16.7131","16.4729","1.22%"
"2019年2月17日","16.4867","16.3020","16.5647","16.2932","1.09%"
"2019年2月10日","16.3082","16.2911","16.4462","16.2127","0.24%"
"2019年2月3日","16.2695","16.2355","16.3333","16.2251","0.22%"
"2019年1月27日","16.2340","16.2319","16.3441","16.1482","-0.02%"
"2019年1月20日","16.2370","16.1906","16.2903","16.0359","0.27%"
"2019年1月13日","16.1935","16.0373","16.2112","15.9576","0.89%"
"2019年1月6日","16.0506","15.8024","16.0883","15.7747","1.59%"
"2018年12月30日","15.7995","16.0540","16.0613","15.2988","-1.45%"
"2018年12月23日","16.0318","16.0668","16.1864","15.9604","-0.45%"
"2018年12月16日","16.1044","16.4034","16.4628","16.0647","-1.89%"
"2018年12月9日","16.4144","16.3924","16.5326","16.2822","0.11%"
"2018年12月2日","16.3961","16.2976","16.5664","16.2976","0.57%"
"2018年11月25日","16.3027","16.2651","16.4099","16.2522","0.29%"
"2018年11月18日","16.2553","16.2614","16.3299","16.1725","-0.05%"
"2018年11月11日","16.2633","16.3629","16.4188","16.2345","-0.61%"
"2018年11月4日","16.3625","16.4254","16.4495","16.3053","-0.40%"
"2018年10月28日","16.4287","16.1202","16.4475","16.0813","1.95%"
"2018年10月21日","16.1151","16.2361","16.2752","16.0368","-0.78%"
"2018年10月14日","16.2416","16.1852","16.2715","16.1149","0.20%"
"2018年10月7日","16.2089","16.5617","16.5981","16.1626","-2.10%"
"2018年9月30日","16.5559","16.5530","16.6782","16.5268","0.02%"
"2018年9月23日","16.5523","16.4165","16.5552","16.3664","0.82%"
"2018年9月16日","16.4173","16.2975","16.5138","16.2545","0.64%"
"2018年9月9日","16.3132","16.2153","16.3739","16.1633","0.51%"
"2018年9月2日","16.2301","16.2630","16.3721","16.1469","-0.17%"
"2018年8月26日","16.2570","16.3389","16.3940","16.1868","-0.52%"
"2018年8月19日","16.3427","16.0720","16.3501","16.0097","1.71%"
"2018年8月12日","16.0677","16.2066","16.2066","15.9261","-0.83%"
"2018年8月5日","16.2023","16.2726","16.3804","16.1304","-0.50%"
"2018年7月29日","16.2830","16.2933","16.4984","16.2077","-0.09%"
"2018年7月22日","16.2974","16.4658","16.4673","16.2436","-0.95%"
"2018年7月15日","16.4544","16.7989","16.8795","16.4514","-2.02%"
"2018年7月8日","16.7933","16.6277","16.9407","16.5991","1.00%"
"2018年7月1日","16.6267","16.7196","16.7724","16.4978","-0.54%"
"2018年6月24日","16.7165","16.8972","16.9157","16.5980","-1.10%"
"2018年6月17日","16.9032","17.1909","17.2033","16.8849","-1.65%"
"2018年6月10日","17.1873","17.0821","17.3187","17.0415","0.51%"
"2018年6月3日","17.0994","17.0597","17.2628","17.0324","0.22%"
"2018年5月27日","17.0620","17.1441","17.1863","16.8493","-0.31%"
"2018年5月20日","17.1151","17.3502","17.4581","17.0769","-1.41%"
"2018年5月13日","17.3597","17.2776","17.4323","17.2452","0.51%"
"2018年5月6日","17.2709","17.1425","17.2904","17.0800","0.70%"
"2018年4月29日","17.1507","17.2213","17.3650","17.0781","-0.39%"
"2018年4月22日","17.2179","17.0913","17.3114","17.0913","0.69%"
"2018年4月15日","17.0993","17.1100","17.1610","17.0125","-0.04%"
"2018年4月8日","17.1068","16.9632","17.1639","16.9017","0.87%"
"2018年4月1日","16.9591","16.9276","17.0510","16.7939","0.14%"
"2018年3月25日","16.9354","16.5767","16.9921","16.5497","2.12%"
"2018年3月18日","16.5833","16.7261","16.8711","16.5205","-0.87%"
"2018年3月11日","16.7293","16.8693","16.9635","16.7010","-0.80%"
"2018年3月4日","16.8645","16.6625","16.9056","16.6184","1.19%"
"2018年2月25日","16.6656","16.8733","17.0545","16.5869","-1.19%"
"2018年2月18日","16.8662","16.7491","16.9977","16.7112","0.71%"
"2018年2月11日","16.7474","17.2900","17.3138","16.6246","-3.07%"
"2018年2月4日","17.2777","17.4652","17.5186","17.1354","-1.12%"
"2018年1月28日","17.4730","17.2028","17.5570","17.1367","1.58%"
"2018年1月21日","17.2014","17.2662","17.3752","17.0933","-0.56%"
"2018年1月14日","17.2978","17.2031","17.3770","17.1019","0.65%"
"2018年1月7日","17.1863","17.4213","17.4705","17.0923","-1.38%"
"2017年12月31日","17.4271","17.3185","17.4724","17.2511","0.63%"
"2017年12月24日","17.3184","17.2229","17.3413","17.2123","0.56%"
"2017年12月17日","17.2213","17.0458","17.2971","16.9770","1.10%"
"2017年12月10日","17.0342","17.1377","17.1805","16.9551","-0.61%"
"2017年12月3日","17.1396","16.9956","17.1709","16.9334","1.17%"
"2017年11月26日","16.9418","16.8824","17.0705","16.8056","0.28%"
"2017年11月19日","16.8951","16.9159","16.9857","16.8041","-0.11%"
